InventoryID,Company,TypeName,GPU,Screen,Memory,Weight,Rating,Price
373,Dell,Ultrabook,Intel,13.3,8,1.29,9,1477
375,HP,Gaming,Nvidia,17.3,16,3.78,8,1498
376,HP,Gaming,Nvidia,17.3,8,3.35,7,1191
377,HP,Gaming,Nvidia,15.6,8,2.2,3,1099
379,HP,Gaming,Nvidia,17.3,8,3.35,4,1129
380,HP,Gaming,Nvidia,15.6,8,2.62,7,899
383,HP,Notebook,Nvidia,17.3,16,2.9,1,1059
384,HP,Notebook,Intel,15.6,16,2.1,1,1159
385,HP,Notebook,Intel,15.6,4,1.86,9,393.9
386,HP,Notebook,Intel,15.6,4,1.86,7,344.99
393,HP,Notebook,Intel,14,4,1.44,7,229
394,HP,Notebook,AMD,15.6,4,2.1,7,349
403,HP,Notebook,Intel,15.6,4,2.1,3,722
405,HP,Notebook,Intel,15.6,4,1.86,1,439
406,HP,Notebook,AMD,15.6,4,1.91,3,488.99
407,HP,Notebook,AMD,15.6,4,2.1,2,469
410,HP,Notebook,Intel,15.6,4,2.04,1,521.47
411,HP,Notebook,Intel,15.6,4,1.63,3,689
414,HP,Notebook,Intel,15.6,4,1.86,4,397
418,HP,Notebook,Intel,15.6,4,1.86,4,364.9
419,HP,Notebook,AMD,17.3,4,2.5,4,699
424,HP,Notebook,Intel,15.6,4,2.07,7,910
425,HP,Notebook,Intel,15.6,4,2.04,5,839
426,HP,Notebook,Intel,14,4,1.95,6,1265
427,HP,Notebook,Intel,14,4,1.95,1,1149
428,HP,Notebook,Intel,15.6,4,1.86,5,288.9
430,HP,Notebook,AMD,15.6,4,2.1,6,499
431,HP,Notebook,Intel,14,4,1.64,7,779
432,HP,Notebook,Intel,14,4,1.48,7,1099.99
433,HP,Notebook,Intel,14,4,1.95,3,1205
434,HP,Notebook,Intel,14,4,1.64,4,684
436,HP,Notebook,Intel,13.3,4,1.49,8,800
438,HP,Notebook,Intel,14,4,2.31,7,1189
442,HP,Notebook,Intel,14,4,1.54,4,1000
443,HP,Notebook,Intel,15.6,4,2.04,6,979
445,HP,Notebook,Intel,15.6,4,1.96,1,499
446,HP,Notebook,Intel,15.6,4,2.31,6,1199
447,HP,Notebook,Intel,15.6,4,2.31,5,940
449,HP,Notebook,Intel,13.3,4,1.29,9,615
450,HP,Notebook,Intel,15.6,4,1.86,10,345.99
451,HP,Notebook,Intel,15.6,4,1.96,10,500
456,HP,Notebook,Intel,15.6,4,2.07,6,650
457,HP,Notebook,Intel,15.6,4,1.86,6,485
458,HP,Notebook,Intel,15.6,4,2.1,1,478
461,HP,Notebook,Nvidia,14,6,1.58,1,659
463,HP,Notebook,AMD,17.3,6,2.71,5,699
468,HP,Notebook,AMD,17.3,6,2.71,1,655.01
470,HP,Notebook,Intel,15.6,6,2.04,5,579
472,HP,Notebook,AMD,15.6,6,2.1,9,529
474,HP,Notebook,AMD,15.6,6,2.19,3,764
476,HP,Notebook,AMD,15.6,6,2.19,5,764
477,HP,Notebook,AMD,15.6,6,2.04,6,549.99
485,HP,Notebook,Intel,14,8,1.63,9,860
488,HP,Notebook,Intel,14,8,1.63,3,1084
490,HP,Notebook,Intel,17.3,8,2.5,1,928
493,HP,Notebook,Nvidia,17.3,8,2.5,5,923
494,HP,Notebook,Nvidia,17.3,8,2.5,9,914
500,HP,Notebook,Intel,15.6,8,2.04,3,559
505,HP,Notebook,Intel,14,8,1.48,10,1292
508,HP,Notebook,Intel,15.6,8,1.84,4,1144
510,HP,Notebook,Intel,15.6,8,1.84,4,1304
511,HP,Notebook,Intel,15.6,8,1.86,10,639
513,HP,Notebook,Intel,15.6,8,2.31,10,1427
514,HP,Notebook,Intel,15.6,8,1.91,8,589
517,HP,Notebook,Intel,14,8,1.48,1,1749
518,HP,Notebook,AMD,15.6,8,1.91,7,618.99
520,HP,Notebook,Intel,17.3,8,2.65,6,544.15
521,HP,Notebook,Nvidia,17.3,8,2.63,4,1280
522,HP,Notebook,Intel,14,8,1.94,6,389
523,HP,Notebook,Intel,15.6,8,1.84,2,1219
525,HP,Notebook,AMD,17,8,2.6,6,520.9
526,HP,Notebook,AMD,15.6,8,2.1,2,745
527,HP,Notebook,Nvidia,17.3,8,2.63,3,1200
529,HP,Notebook,Intel,15.6,8,1.84,7,1900
530,HP,Notebook,Nvidia,15.6,8,2.2,4,1099
532,HP,Notebook,Nvidia,17.3,8,2.63,7,910
533,HP,Notebook,AMD,15.6,8,1.84,6,1349
534,HP,Notebook,Nvidia,15.6,8,2.04,8,900
536,HP,Notebook,Intel,13.3,8,1.49,5,960
537,HP,Notebook,Intel,15.6,8,2.31,8,1165
538,HP,Notebook,Nvidia,15.6,8,2.04,9,846.5
539,HP,Notebook,Nvidia,15.6,8,2.04,9,979
541,HP,Notebook,Intel,13.3,8,1.34,3,1189
545,HP,Notebook,Nvidia,14,8,1.64,10,1185.43
546,HP,Notebook,Nvidia,17.3,8,2.63,7,1080
548,HP,Notebook,Intel,15.6,8,1.84,4,1228.99
549,HP,Notebook,Intel,14,8,1.64,6,1010.51
550,HP,Notebook,Intel,15.6,8,1.84,2,2103.34
551,HP,Notebook,Intel,14,8,1.43,1,1469
553,HP,Notebook,Intel,15.6,8,2.04,2,1070
556,HP,Notebook,Intel,13.3,8,1.16,3,1690
557,HP,Notebook,Intel,14,8,1.43,6,1513
558,HP,Notebook,Intel,15.6,8,2.04,5,629
559,HP,Notebook,Intel,15.6,8,1.88,2,1579
563,HP,Ultrabook,Intel,13.3,16,1.3,7,2049
565,HP,Ultrabook,AMD,15.6,4,1.91,1,499
569,HP,Ultrabook,Intel,12.5,4,1.26,5,1559
572,HP,Ultrabook,Nvidia,13.3,8,1.38,9,1119
573,HP,Ultrabook,Intel,12.5,8,0.97,4,2014
574,HP,Ultrabook,Intel,12.5,8,1.26,5,1335
576,HP,Ultrabook,Intel,14,8,1.43,5,1500
577,HP,Ultrabook,Intel,13.3,8,1.34,5,1323
579,HP,Ultrabook,Intel,13.3,8,1.34,9,1145
581,HP,Ultrabook,Intel,14,8,1.54,2,1870
583,HP,Ultrabook,Intel,12.5,8,1.09,7,3100
584,HP,Ultrabook,AMD,15.6,8,1.84,7,1296.99
588,HP,Ultrabook,Intel,14,8,1.43,6,1449
590,HP,Ultrabook,Intel,12.5,8,1.26,10,1349
598,Lenovo,Gaming,Nvidia,15.6,16,2.5,8,1079
599,Lenovo,Gaming,Nvidia,15.6,16,3.2,7,1749
602,Lenovo,Gaming,Nvidia,15.6,16,2.5,7,1179
604,Lenovo,Gaming,AMD,15.6,16,2.5,2,999
606,Lenovo,Gaming,Nvidia,15.6,16,2.4,3,1199
610,Lenovo,Gaming,Nvidia,15.6,4,2.4,8,999
611,Lenovo,Gaming,Nvidia,15.6,8,2.5,3,999
614,Lenovo,Gaming,Nvidia,15.6,8,2.5,7,829
615,Lenovo,Gaming,Nvidia,15.6,8,3.2,5,1299
617,Lenovo,Gaming,Nvidia,15.6,8,2.4,2,1149
618,Lenovo,Gaming,Nvidia,15.6,8,3.2,7,1399
619,Lenovo,Gaming,Nvidia,15.6,8,2.5,3,1109
621,Lenovo,Gaming,Nvidia,15.6,8,2.5,8,1249
622,Lenovo,Gaming,Nvidia,15.6,8,2.5,10,1048
623,Lenovo,Gaming,Nvidia,15.6,8,2.5,5,1017
